https://cs.usfca.edu/svn/yxu66/cs245/Project3

Result on array size: 5
Insertion Sort | Reverse = False | Duration = 0.00155
Selection Sort | Reverse = False | Duration = 0.0017
Shell Sort | Reverse = False | Duration = 0.00165
Bucket Sort | Reverse = False | Duration = 0.00165
Heap Sort | Reverse = False | Duration = 0.00315
Radix Sort | Reverse = False | Duration = 0.0025
Merge Sort | Reverse = False | Duration = 0.00345
Quick Sort | Reverse = False | Duration = 0.0056
Merge Sort LL | Reverse = False | Duration = 0.0062
Insertion Sort LL | Reverse = False | Duration = 0.00145
Optimized Quick Sort | Reverse = False | Duration = 0.0029

Insertion Sort | Reverse = True | Duration = 0.00125
Selection Sort | Reverse = True | Duration = 1.0E-4
Shell Sort | Reverse = True | Duration = 1.0E-4
Bucket Sort | Reverse = True | Duration = 3.5E-4
Heap Sort | Reverse = True | Duration = 0.0023
Radix Sort | Reverse = True | Duration = 0.00165
Merge Sort | Reverse = True | Duration = 3.5E-4
Quick Sort | Reverse = True | Duration = 0.00675
Merge Sort LL | Reverse = True | Duration = 5.0E-5
Insertion Sort LL | Reverse = True | Duration = 5.0E-5
Optimized Quick Sort | Reverse = True | Duration = 0.0054
==================
Result on array size: 20
Insertion Sort | Reverse = False | Duration = 2.0E-4
Selection Sort | Reverse = False | Duration = 6.0E-4
Shell Sort | Reverse = False | Duration = 0.0014
Bucket Sort | Reverse = False | Duration = 0.0012
Heap Sort | Reverse = False | Duration = 8.0E-4
Radix Sort | Reverse = False | Duration = 0.0028
Merge Sort | Reverse = False | Duration = 0.0010
Quick Sort | Reverse = False | Duration = 0.022
Merge Sort LL | Reverse = False | Duration = 0.0298
Insertion Sort LL | Reverse = False | Duration = 0.0
Optimized Quick Sort | Reverse = False | Duration = 4.0E-4

Insertion Sort | Reverse = True | Duration = 2.0E-4
Selection Sort | Reverse = True | Duration = 0.0014
Shell Sort | Reverse = True | Duration = 4.0E-4
Bucket Sort | Reverse = True | Duration = 6.0E-4
Heap Sort | Reverse = True | Duration = 4.0E-4
Radix Sort | Reverse = True | Duration = 0.0028
Merge Sort | Reverse = True | Duration = 0.0016
Quick Sort | Reverse = True | Duration = 0.0018
Merge Sort LL | Reverse = True | Duration = 0.0012
Insertion Sort LL | Reverse = True | Duration = 0.0
Optimized Quick Sort | Reverse = True | Duration = 8.0E-4
==================
Result on array size: 50
Insertion Sort | Reverse = False | Duration = 0.0055
Selection Sort | Reverse = False | Duration = 0.0025
Shell Sort | Reverse = False | Duration = 0.0010
Bucket Sort | Reverse = False | Duration = 0.0020
Heap Sort | Reverse = False | Duration = 0.0020
Radix Sort | Reverse = False | Duration = 0.0055
Merge Sort | Reverse = False | Duration = 0.0045
Quick Sort | Reverse = False | Duration = 0.0020
Merge Sort LL | Reverse = False | Duration = 0.0050
Insertion Sort LL | Reverse = False | Duration = 0.0025
Optimized Quick Sort | Reverse = False | Duration = 0.0010

Insertion Sort | Reverse = True | Duration = 5.0E-4
Selection Sort | Reverse = True | Duration = 0.0090
Shell Sort | Reverse = True | Duration = 0.0010
Bucket Sort | Reverse = True | Duration = 0.0025
Heap Sort | Reverse = True | Duration = 0.0020
Radix Sort | Reverse = True | Duration = 0.0060
Merge Sort | Reverse = True | Duration = 0.0040
Quick Sort | Reverse = True | Duration = 0.0010
Merge Sort LL | Reverse = True | Duration = 0.0
Insertion Sort LL | Reverse = True | Duration = 0.0
Optimized Quick Sort | Reverse = True | Duration = 0.0010
==================
Result on array size: 100
Insertion Sort | Reverse = False | Duration = 0.0
Selection Sort | Reverse = False | Duration = 0.01
Shell Sort | Reverse = False | Duration = 0.0030
Bucket Sort | Reverse = False | Duration = 0.0030
Heap Sort | Reverse = False | Duration = 0.0040
Radix Sort | Reverse = False | Duration = 0.01
Merge Sort | Reverse = False | Duration = 0.0070
Quick Sort | Reverse = False | Duration = 0.0030
Merge Sort LL | Reverse = False | Duration = 0.0
Insertion Sort LL | Reverse = False | Duration = 0.0
Optimized Quick Sort | Reverse = False | Duration = 0.0020

Insertion Sort | Reverse = True | Duration = 0.0010
Selection Sort | Reverse = True | Duration = 0.037
Shell Sort | Reverse = True | Duration = 0.0030
Bucket Sort | Reverse = True | Duration = 0.0030
Heap Sort | Reverse = True | Duration = 0.0050
Radix Sort | Reverse = True | Duration = 0.0080
Merge Sort | Reverse = True | Duration = 0.0090
Quick Sort | Reverse = True | Duration = 0.0040
Merge Sort LL | Reverse = True | Duration = 0.0
Insertion Sort LL | Reverse = True | Duration = 0.0
Optimized Quick Sort | Reverse = True | Duration = 0.0030
==================
Result on array size: 200
Insertion Sort | Reverse = False | Duration = 0.0
Selection Sort | Reverse = False | Duration = 0.036
Shell Sort | Reverse = False | Duration = 0.0080
Bucket Sort | Reverse = False | Duration = 0.0080
Heap Sort | Reverse = False | Duration = 0.01
Radix Sort | Reverse = False | Duration = 0.014
Merge Sort | Reverse = False | Duration = 0.016
Quick Sort | Reverse = False | Duration = 0.0040
Merge Sort LL | Reverse = False | Duration = 0.0040
Insertion Sort LL | Reverse = False | Duration = 0.034
Optimized Quick Sort | Reverse = False | Duration = 0.0060

Insertion Sort | Reverse = True | Duration = 0.0
Selection Sort | Reverse = True | Duration = 0.138
Shell Sort | Reverse = True | Duration = 0.0060
Bucket Sort | Reverse = True | Duration = 0.0060
Heap Sort | Reverse = True | Duration = 0.012
Radix Sort | Reverse = True | Duration = 0.014
Merge Sort | Reverse = True | Duration = 0.016
Quick Sort | Reverse = True | Duration = 0.0060
Merge Sort LL | Reverse = True | Duration = 0.0
Insertion Sort LL | Reverse = True | Duration = 0.0
Optimized Quick Sort | Reverse = True | Duration = 0.0060
==================
Result on array size: 300
Insertion Sort | Reverse = False | Duration = 0.0
Selection Sort | Reverse = False | Duration = 0.07507507507507508
Shell Sort | Reverse = False | Duration = 0.012012012012012012
Bucket Sort | Reverse = False | Duration = 0.009009009009009009
Heap Sort | Reverse = False | Duration = 0.018018018018018018
Radix Sort | Reverse = False | Duration = 0.018018018018018018
Merge Sort | Reverse = False | Duration = 0.024024024024024024
Quick Sort | Reverse = False | Duration = 0.006006006006006006
Merge Sort LL | Reverse = False | Duration = 0.003003003003003003
Insertion Sort LL | Reverse = False | Duration = 0.03303303303303303
Optimized Quick Sort | Reverse = False | Duration = 0.006006006006006006

Insertion Sort | Reverse = True | Duration = 0.003003003003003003
Selection Sort | Reverse = True | Duration = 0.3213213213213213
Shell Sort | Reverse = True | Duration = 0.012012012012012012
Bucket Sort | Reverse = True | Duration = 0.012012012012012012
Heap Sort | Reverse = True | Duration = 0.036036036036036036
Radix Sort | Reverse = True | Duration = 0.02702702702702703
Merge Sort | Reverse = True | Duration = 0.02702702702702703
Quick Sort | Reverse = True | Duration = 0.006006006006006006
Merge Sort LL | Reverse = True | Duration = 0.0
Insertion Sort LL | Reverse = True | Duration = 0.0
Optimized Quick Sort | Reverse = True | Duration = 0.009009009009009009
==================
Result on array size: 400
Insertion Sort | Reverse = False | Duration = 0.0
Selection Sort | Reverse = False | Duration = 0.148
Shell Sort | Reverse = False | Duration = 0.016
Bucket Sort | Reverse = False | Duration = 0.012
Heap Sort | Reverse = False | Duration = 0.044
Radix Sort | Reverse = False | Duration = 0.024
Merge Sort | Reverse = False | Duration = 0.032
Quick Sort | Reverse = False | Duration = 0.012
Merge Sort LL | Reverse = False | Duration = 0.0040
Insertion Sort LL | Reverse = False | Duration = 0.08
Optimized Quick Sort | Reverse = False | Duration = 0.012

Insertion Sort | Reverse = True | Duration = 0.0040
Selection Sort | Reverse = True | Duration = 0.584
Shell Sort | Reverse = True | Duration = 0.016
