Result on array size: 5
Insertion Sort | Reverse = False | Duration = 0.0014
Selection Sort | Reverse = False | Duration = 0.00165
Shell Sort | Reverse = False | Duration = 0.0016
Bucket Sort | Reverse = False | Duration = 0.00145
Heap Sort | Reverse = False | Duration = 0.0028
Radix Sort | Reverse = False | Duration = 0.0029
Merge Sort | Reverse = False | Duration = 0.00345
Quick Sort | Reverse = False | Duration = 0.0061
Merge Sort LL | Reverse = False | Duration = 0.0053
Insertion Sort LL | Reverse = False | Duration = 0.00165
Optimized Quick Sort | Reverse = False | Duration = 1.5E-4
Result on array size: 20
Insertion Sort | Reverse = False | Duration = 2.0E-4
Selection Sort | Reverse = False | Duration = 2.0E-4
Shell Sort | Reverse = False | Duration = 0.0052
Bucket Sort | Reverse = False | Duration = 0.0062
Heap Sort | Reverse = False | Duration = 0.0090
Radix Sort | Reverse = False | Duration = 0.0040
Merge Sort | Reverse = False | Duration = 0.0018
Quick Sort | Reverse = False | Duration = 0.024
Merge Sort LL | Reverse = False | Duration = 0.015
Insertion Sort LL | Reverse = False | Duration = 2.0E-4
Optimized Quick Sort | Reverse = False | Duration = 4.0E-4
Result on array size: 50
Insertion Sort | Reverse = False | Duration = 0.0045
Selection Sort | Reverse = False | Duration = 0.0025
Shell Sort | Reverse = False | Duration = 0.0010
Bucket Sort | Reverse = False | Duration = 0.0035
Heap Sort | Reverse = False | Duration = 0.0015
Radix Sort | Reverse = False | Duration = 0.0065
Merge Sort | Reverse = False | Duration = 0.0030
Quick Sort | Reverse = False | Duration = 0.0025
Merge Sort LL | Reverse = False | Duration = 5.0E-4
Insertion Sort LL | Reverse = False | Duration = 5.0E-4
Optimized Quick Sort | Reverse = False | Duration = 0.0010
Result on array size: 100
Insertion Sort | Reverse = False | Duration = 0.0
Selection Sort | Reverse = False | Duration = 0.01
Shell Sort | Reverse = False | Duration = 0.0030
Bucket Sort | Reverse = False | Duration = 0.0030
Heap Sort | Reverse = False | Duration = 0.0040
Radix Sort | Reverse = False | Duration = 0.01
Merge Sort | Reverse = False | Duration = 0.0070
Quick Sort | Reverse = False | Duration = 0.0030
Merge Sort LL | Reverse = False | Duration = 0.0010
Insertion Sort LL | Reverse = False | Duration = 0.0060
Optimized Quick Sort | Reverse = False | Duration = 0.0020
Result on array size: 200
Insertion Sort | Reverse = False | Duration = 0.0020
Selection Sort | Reverse = False | Duration = 0.034
Shell Sort | Reverse = False | Duration = 0.01
Bucket Sort | Reverse = False | Duration = 0.0080
Heap Sort | Reverse = False | Duration = 0.0080
Radix Sort | Reverse = False | Duration = 0.022
Merge Sort | Reverse = False | Duration = 0.016
Quick Sort | Reverse = False | Duration = 0.0040
Merge Sort LL | Reverse = False | Duration = 0.0
Insertion Sort LL | Reverse = False | Duration = 0.0060
Optimized Quick Sort | Reverse = False | Duration = 0.0060
Result on array size: 300
Insertion Sort | Reverse = False | Duration = 0.003003003003003003
Selection Sort | Reverse = False | Duration = 0.07507507507507508
Shell Sort | Reverse = False | Duration = 0.012012012012012012
Bucket Sort | Reverse = False | Duration = 0.012012012012012012
Heap Sort | Reverse = False | Duration = 0.012012012012012012
Radix Sort | Reverse = False | Duration = 0.02702702702702703
Merge Sort | Reverse = False | Duration = 0.024024024024024024
Quick Sort | Reverse = False | Duration = 0.006006006006006006
Merge Sort LL | Reverse = False | Duration = 0.003003003003003003
Insertion Sort LL | Reverse = False | Duration = 0.006006006006006006
Optimized Quick Sort | Reverse = False | Duration = 0.006006006006006006
Result on array size: 400
Insertion Sort | Reverse = False | Duration = 0.0040
Selection Sort | Reverse = False | Duration = 0.132
Shell Sort | Reverse = False | Duration = 0.016
Bucket Sort | Reverse = False | Duration = 0.012
Heap Sort | Reverse = False | Duration = 0.024
